,alert_id,full_path,title,date
0,AA22-321A,https://www.cisa.gov/ncas/alerts/aa22-321a,#StopRansomware: Hive Ransomware,"
                                Original release date: November 17, 2022  | Last revised: November 18, 2022
                                            "
1,AA22-320A,https://www.cisa.gov/ncas/alerts/aa22-320a,"Iranian Government-Sponsored APT Actors Compromise Federal Network, Deploy Crypto Miner, Credential Harvester","
                                Original release date: November 16, 2022  | Last revised: November 17, 2022
                                            "
2,AA22-294A,https://www.cisa.gov/ncas/alerts/aa22-294a,#StopRansomware: Daixin Team,"
                                Original release date: October 21, 2022  | Last revised: October 26, 2022
                                            "
3,AA22-279A,https://www.cisa.gov/ncas/alerts/aa22-279a,Top CVEs Actively Exploited By People’s Republic of China State-Sponsored Cyber Actors,"
                                                Original release date: October 06, 2022
                            "
4,AA22-277A,https://www.cisa.gov/ncas/alerts/aa22-277a,Impacket and Exfiltration Tool Used to Steal Sensitive Information from Defense Industrial Base Organization,"
                                Original release date: October 04, 2022  | Last revised: October 05, 2022
                                            "
5,AA22-265A,https://www.cisa.gov/ncas/alerts/aa22-265a,Control System Defense: Know the Opponent,"
                                                Original release date: September 22, 2022
                            "
6,AA22-264A,https://www.cisa.gov/ncas/alerts/aa22-264a,Iranian State Actors Conduct Cyber Operations Against the Government of Albania,"
                                Original release date: September 21, 2022  | Last revised: September 23, 2022
                                            "
7,AA22-257A,https://www.cisa.gov/ncas/alerts/aa22-257a,Iranian Islamic Revolutionary Guard Corps-Affiliated Cyber Actors Exploiting Vulnerabilities for Data Extortion and Disk Encryption for Ransom Operations,"
                                                Original release date: September 14, 2022
                            "
8,AA22-249A,https://www.cisa.gov/ncas/alerts/aa22-249a,#StopRansomware: Vice Society,"
                                Original release date: September 06, 2022  | Last revised: September 08, 2022
                                            "
9,AA22-228A,https://www.cisa.gov/ncas/alerts/aa22-228a,Threat Actors Exploiting Multiple CVEs Against Zimbra Collaboration Suite,"
                                Original release date: August 16, 2022  | Last revised: November 10, 2022
                                            "
10,AA22-223A,https://www.cisa.gov/ncas/alerts/aa22-223a,#StopRansomware: Zeppelin Ransomware,"
                                                Original release date: August 11, 2022
                            "
11,AA22-216A,https://www.cisa.gov/ncas/alerts/aa22-216a,2021 Top Malware Strains,"
                                Original release date: August 04, 2022  | Last revised: August 25, 2022
                                            "
12,AA22-187A,https://www.cisa.gov/ncas/alerts/aa22-187a,North Korean State-Sponsored Cyber Actors Use Maui Ransomware to Target the Healthcare and Public Health Sector ,"
                                Original release date: July 06, 2022  | Last revised: July 07, 2022
                                            "
13,AA22-181A,https://www.cisa.gov/ncas/alerts/aa22-181a,#StopRansomware: MedusaLocker ,"
                                Original release date: June 30, 2022  | Last revised: August 11, 2022
                                            "
14,AA22-174A,https://www.cisa.gov/ncas/alerts/aa22-174a,Malicious Cyber Actors Continue to Exploit Log4Shell in VMware Horizon Systems,"
                                Original release date: June 23, 2022  | Last revised: July 18, 2022
                                            "
15,AA22-158A,https://www.cisa.gov/ncas/alerts/aa22-158a,People’s Republic of China State-Sponsored Cyber Actors Exploit Network Providers and Devices,"
                                Original release date: June 07, 2022  | Last revised: June 10, 2022
                                            "
16,AA22-152A,https://www.cisa.gov/ncas/alerts/aa22-152a,Karakurt Data Extortion Group ,"
                                Original release date: June 01, 2022  | Last revised: June 02, 2022
                                            "
17,AA22-138B,https://www.cisa.gov/ncas/alerts/aa22-138b,Threat Actors Chaining Unpatched VMware Vulnerabilities for Full System Control ,"
                                Original release date: May 18, 2022  | Last revised: June 02, 2022
                                            "
18,AA22-138A,https://www.cisa.gov/ncas/alerts/aa22-138a,Threat Actors Exploiting F5 BIG-IP CVE-2022-1388,"
                                Original release date: May 18, 2022  | Last revised: October 12, 2022
                                            "
19,AA22-137A,https://www.cisa.gov/ncas/alerts/aa22-137a,Weak Security Controls and Practices Routinely Exploited for Initial Access,"
                                                Original release date: May 17, 2022
                            "
20,AA22-131A,https://www.cisa.gov/ncas/alerts/aa22-131a,Protecting Against Cyber Threats to Managed Service Providers and their Customers,"
                                                Original release date: May 11, 2022
                            "
21,AA22-117A,https://www.cisa.gov/ncas/alerts/aa22-117a,2021 Top Routinely Exploited Vulnerabilities,"
                                Original release date: April 27, 2022  | Last revised: April 28, 2022
                                            "
22,AA22-110A,https://www.cisa.gov/ncas/alerts/aa22-110a,Russian State-Sponsored and Criminal Cyber Threats to Critical Infrastructure,"
                                Original release date: April 20, 2022  | Last revised: May 09, 2022
                                            "
23,AA22-108A,https://www.cisa.gov/ncas/alerts/aa22-108a,TraderTraitor: North Korean State-Sponsored APT Targets Blockchain Companies ,"
                                Original release date: April 18, 2022  | Last revised: April 20, 2022
                                            "
24,AA22-103A,https://www.cisa.gov/ncas/alerts/aa22-103a,APT Cyber Tools Targeting ICS/SCADA Devices,"
                                Original release date: April 13, 2022  | Last revised: May 25, 2022
                                            "
25,AA22-083A,https://www.cisa.gov/ncas/alerts/aa22-083a,"Tactics, Techniques, and Procedures of Indicted State-Sponsored Russian Cyber Actors Targeting the Energy Sector","
                                                Original release date: March 24, 2022
                            "
26,AA22-076A,https://www.cisa.gov/ncas/alerts/aa22-076a,Strengthening Cybersecurity of SATCOM Network Providers and Customers,"
                                Original release date: March 17, 2022  | Last revised: May 10, 2022
                                            "
27,AA22-074A,https://www.cisa.gov/ncas/alerts/aa22-074a,Russian State-Sponsored Cyber Actors Gain Network Access by Exploiting Default Multifactor Authentication Protocols and “PrintNightmare” Vulnerability,"
                                Original release date: March 15, 2022  | Last revised: May 02, 2022
                                            "
28,AA22-057A,https://www.cisa.gov/ncas/alerts/aa22-057a,Update: Destructive Malware Targeting Organizations in Ukraine,"
                                Original release date: February 26, 2022  | Last revised: April 28, 2022
                                            "
29,AA22-055A,https://www.cisa.gov/ncas/alerts/aa22-055a,Iranian Government-Sponsored Actors Conduct Cyber Operations Against Global Government and Commercial Networks,"
                                                Original release date: February 24, 2022
                            "
30,AA22-054A,https://www.cisa.gov/ncas/alerts/aa22-054a,New Sandworm Malware Cyclops Blink Replaces VPNFilter,"
                                                Original release date: February 23, 2022
                            "
31,AA22-047A,https://www.cisa.gov/ncas/alerts/aa22-047a,Russian State-Sponsored Cyber Actors Target Cleared Defense Contractor Networks to Obtain Sensitive U.S. Defense Information and Technology,"
                                                Original release date: February 16, 2022
                            "
32,AA22-040A,https://www.cisa.gov/ncas/alerts/aa22-040a,2021 Trends Show Increased Globalized Threat of Ransomware,"
                                Original release date: February 09, 2022  | Last revised: February 10, 2022
                                            "
33,AA22-011A,https://www.cisa.gov/ncas/alerts/aa22-011a,Understanding and Mitigating Russian State-Sponsored Cyber Threats to U.S. Critical Infrastructure  ,"
                                Original release date: January 11, 2022  | Last revised: March 01, 2022
                                            "
34,AA21-356A,https://www.cisa.gov/ncas/alerts/aa21-356a,Mitigating Log4Shell and Other Log4j-Related Vulnerabilities,"
                                Original release date: December 22, 2021  | Last revised: December 23, 2021
                                            "
35,AA21-336A,https://www.cisa.gov/ncas/alerts/aa21-336a,APT Actors Exploiting CVE-2021-44077 in Zoho ManageEngine ServiceDesk Plus,"
                                Original release date: December 02, 2021  | Last revised: December 06, 2021
                                            "
36,AA21-321A,https://www.cisa.gov/ncas/alerts/aa21-321a,Iranian Government-Sponsored APT Cyber Actors Exploiting Microsoft Exchange and Fortinet Vulnerabilities in Furtherance of Malicious Activities,"
                                Original release date: November 17, 2021  | Last revised: November 19, 2021
                                            "
37,AA21-291A,https://www.cisa.gov/ncas/alerts/aa21-291a,BlackMatter Ransomware ,"
                                                Original release date: October 18, 2021
                            "
38,AA21-287A,https://www.cisa.gov/ncas/alerts/aa21-287a,Ongoing Cyber Threats to U.S. Water and Wastewater Systems,"
                                Original release date: October 14, 2021  | Last revised: October 25, 2021
                                            "
39,AA21-265A,https://www.cisa.gov/ncas/alerts/aa21-265a,Conti Ransomware,"
                                Original release date: September 22, 2021  | Last revised: March 09, 2022
                                            "
40,AA21-259A,https://www.cisa.gov/ncas/alerts/aa21-259a,APT Actors Exploiting Newly Identified Vulnerability in ManageEngine ADSelfService Plus,"
                                Original release date: September 16, 2021  | Last revised: November 22, 2021
                                            "
41,AA21-243A,https://www.cisa.gov/ncas/alerts/aa21-243a,Ransomware Awareness for Holidays and Weekends,"
                                Original release date: August 31, 2021  | Last revised: February 10, 2022
                                            "
42,AA21-229A,https://www.cisa.gov/ncas/alerts/aa21-229a,BadAlloc Vulnerability Affecting BlackBerry QNX RTOS,"
                                Original release date: August 17, 2021  | Last revised: August 23, 2021
                                            "
43,AA21-209A,https://www.cisa.gov/ncas/alerts/aa21-209a,Top Routinely Exploited Vulnerabilities,"
                                Original release date: July 28, 2021  | Last revised: August 20, 2021
                                            "
44,AA21-201A,https://www.cisa.gov/ncas/alerts/aa21-201a,"Chinese Gas Pipeline Intrusion Campaign, 2011 to 2013 ","
                                Original release date: July 20, 2021  | Last revised: July 21, 2021
                                            "
45,AA21-200B,https://www.cisa.gov/ncas/alerts/aa21-200b,Chinese State-Sponsored Cyber Operations: Observed TTPs,"
                                Original release date: July 19, 2021  | Last revised: August 20, 2021
                                            "
46,AA21-200A,https://www.cisa.gov/ncas/alerts/aa21-200a,"Tactics, Techniques, and Procedures of Indicted APT40 Actors Associated with China’s MSS Hainan State Security Department","
                                Original release date: July 19, 2021  | Last revised: July 20, 2021
                                            "
47,AA21-148A,https://www.cisa.gov/ncas/alerts/aa21-148a,"Sophisticated Spearphishing Campaign Targets Government Organizations, IGOs, and NGOs","
                                Original release date: May 28, 2021  | Last revised: May 29, 2021
                                            "
