alert_id,cve_id
AA22-321A,T1486
AA22-321A,T1566
AA22-321A,T1562
AA22-321A,T1059
AA22-321A,T1190
AA22-321A,T1112
AA22-321A,T1490
AA22-321A,T1133
AA22-321A,T1070
AA22-321A,T1537
AA22-320A,T1078
AA22-320A,T1090
AA22-320A,T1016
AA22-320A,T1562
AA22-320A,T1105
AA22-320A,T1136
AA22-320A,T1003
AA22-320A,T1018
AA22-320A,T1021
AA22-320A,T1059
AA22-320A,T1190
AA22-320A,T1098
AA22-320A,T1070
AA22-320A,T1555
AA22-320A,T1053
AA22-294A,T1078
AA22-294A,T1486
AA22-294A,T1563
AA22-294A,T1003
AA22-294A,T1190
AA22-294A,T1598
AA22-294A,T1098
AA22-294A,T1550
AA22-294A,T1567
AA22-277A,T1070
AA22-277A,T1033
AA22-277A,T1562
AA22-277A,T1021
AA22-277A,T1047
AA22-277A,T1074
AA22-277A,T1497
AA22-277A,T1569
AA22-277A,T1095
AA22-277A,T1560
AA22-277A,T1078
AA22-277A,T1016
AA22-277A,T1543
AA22-277A,T1059
AA22-277A,T1574
AA22-277A,T1082
AA22-277A,T1039
AA22-277A,T1083
AA22-277A,T1567
AA22-277A,T1036
AA22-277A,T1049
AA22-277A,T1090
AA22-277A,T1105
AA22-277A,T1129
AA22-277A,T1057
AA22-277A,T1029
AA22-265A,T0832
AA22-265A,T0815
AA22-265A,T0804
AA22-265A,T0831
AA22-265A,T0813
AA22-265A,T0882
AA22-257A,T1588
AA22-257A,T1486
AA22-257A,T1136
AA22-257A,T1190
AA22-257A,T1053
AA22-257A,T1560
AA22-249A,T1078
AA22-249A,T1486
AA22-249A,T1543
AA22-249A,T1547
AA22-249A,T1190
AA22-249A,T1574
AA22-249A,T1080
AA22-249A,T1047
AA22-249A,T1497
AA22-249A,T1053
AA22-249A,T1068
AA22-249A,T1531
AA22-249A,T1036
AA22-249A,T1055
AA22-223A,T1486
AA22-223A,T1566
AA22-223A,T1543
AA22-223A,T1190
AA22-223A,T1204
AA22-223A,T1133
AA22-187A,T1486
AA22-187A,T1059
AA22-181A,T1486
AA22-181A,T1566
AA22-181A,T1562
AA22-181A,T1059
AA22-181A,T1490
AA22-181A,T1133
AA22-174A,T1573
AA22-174A,T1090
AA22-174A,T1071
AA22-174A,T1105
AA22-174A,T1059
AA22-174A,T1056
AA22-174A,T1021
AA22-174A,T1190
