,alert_id,full_path,title,date
0,AA22-321A,https://www.cisa.gov/ncas/alerts/aa22-321a,#StopRansomware: Hive Ransomware,2022-11-17
1,AA22-320A,https://www.cisa.gov/ncas/alerts/aa22-320a,"Iranian Government-Sponsored APT Actors Compromise Federal Network, Deploy Crypto Miner, Credential Harvester",2022-11-16
2,AA22-294A,https://www.cisa.gov/ncas/alerts/aa22-294a,#StopRansomware: Daixin Team,2022-10-21
3,AA22-279A,https://www.cisa.gov/ncas/alerts/aa22-279a,Top CVEs Actively Exploited By People’s Republic of China State-Sponsored Cyber Actors,2022-10-06
4,AA22-277A,https://www.cisa.gov/ncas/alerts/aa22-277a,Impacket and Exfiltration Tool Used to Steal Sensitive Information from Defense Industrial Base Organization,2022-10-04
5,AA22-265A,https://www.cisa.gov/ncas/alerts/aa22-265a,Control System Defense: Know the Opponent,2022-09-22
6,AA22-264A,https://www.cisa.gov/ncas/alerts/aa22-264a,Iranian State Actors Conduct Cyber Operations Against the Government of Albania,2022-09-21
7,AA22-257A,https://www.cisa.gov/ncas/alerts/aa22-257a,Iranian Islamic Revolutionary Guard Corps-Affiliated Cyber Actors Exploiting Vulnerabilities for Data Extortion and Disk Encryption for Ransom Operations,2022-09-14
8,AA22-249A,https://www.cisa.gov/ncas/alerts/aa22-249a,#StopRansomware: Vice Society,2022-09-06
9,AA22-228A,https://www.cisa.gov/ncas/alerts/aa22-228a,Threat Actors Exploiting Multiple CVEs Against Zimbra Collaboration Suite,2022-08-16
10,AA22-223A,https://www.cisa.gov/ncas/alerts/aa22-223a,#StopRansomware: Zeppelin Ransomware,2022-08-11
11,AA22-216A,https://www.cisa.gov/ncas/alerts/aa22-216a,2021 Top Malware Strains,2022-08-04
12,AA22-187A,https://www.cisa.gov/ncas/alerts/aa22-187a,North Korean State-Sponsored Cyber Actors Use Maui Ransomware to Target the Healthcare and Public Health Sector ,2022-07-06
13,AA22-181A,https://www.cisa.gov/ncas/alerts/aa22-181a,#StopRansomware: MedusaLocker ,2022-06-30
14,AA22-174A,https://www.cisa.gov/ncas/alerts/aa22-174a,Malicious Cyber Actors Continue to Exploit Log4Shell in VMware Horizon Systems,2022-06-23
15,AA22-158A,https://www.cisa.gov/ncas/alerts/aa22-158a,People’s Republic of China State-Sponsored Cyber Actors Exploit Network Providers and Devices,2022-06-07
16,AA22-152A,https://www.cisa.gov/ncas/alerts/aa22-152a,Karakurt Data Extortion Group ,2022-06-01
17,AA22-138B,https://www.cisa.gov/ncas/alerts/aa22-138b,Threat Actors Chaining Unpatched VMware Vulnerabilities for Full System Control ,2022-05-18
18,AA22-138A,https://www.cisa.gov/ncas/alerts/aa22-138a,Threat Actors Exploiting F5 BIG-IP CVE-2022-1388,2022-05-18
19,AA22-137A,https://www.cisa.gov/ncas/alerts/aa22-137a,Weak Security Controls and Practices Routinely Exploited for Initial Access,2022-05-17
20,AA22-131A,https://www.cisa.gov/ncas/alerts/aa22-131a,Protecting Against Cyber Threats to Managed Service Providers and their Customers,2022-05-11
21,AA22-117A,https://www.cisa.gov/ncas/alerts/aa22-117a,2021 Top Routinely Exploited Vulnerabilities,2022-04-27
22,AA22-110A,https://www.cisa.gov/ncas/alerts/aa22-110a,Russian State-Sponsored and Criminal Cyber Threats to Critical Infrastructure,2022-04-20
23,AA22-108A,https://www.cisa.gov/ncas/alerts/aa22-108a,TraderTraitor: North Korean State-Sponsored APT Targets Blockchain Companies ,2022-04-18
24,AA22-103A,https://www.cisa.gov/ncas/alerts/aa22-103a,APT Cyber Tools Targeting ICS/SCADA Devices,2022-04-13
25,AA22-083A,https://www.cisa.gov/ncas/alerts/aa22-083a,"Tactics, Techniques, and Procedures of Indicted State-Sponsored Russian Cyber Actors Targeting the Energy Sector",2022-03-24
26,AA22-076A,https://www.cisa.gov/ncas/alerts/aa22-076a,Strengthening Cybersecurity of SATCOM Network Providers and Customers,2022-03-17
27,AA22-074A,https://www.cisa.gov/ncas/alerts/aa22-074a,Russian State-Sponsored Cyber Actors Gain Network Access by Exploiting Default Multifactor Authentication Protocols and “PrintNightmare” Vulnerability,2022-03-15
28,AA22-057A,https://www.cisa.gov/ncas/alerts/aa22-057a,Update: Destructive Malware Targeting Organizations in Ukraine,2022-02-26
29,AA22-055A,https://www.cisa.gov/ncas/alerts/aa22-055a,Iranian Government-Sponsored Actors Conduct Cyber Operations Against Global Government and Commercial Networks,2022-02-24
30,AA22-054A,https://www.cisa.gov/ncas/alerts/aa22-054a,New Sandworm Malware Cyclops Blink Replaces VPNFilter,2022-02-23
31,AA22-047A,https://www.cisa.gov/ncas/alerts/aa22-047a,Russian State-Sponsored Cyber Actors Target Cleared Defense Contractor Networks to Obtain Sensitive U.S. Defense Information and Technology,2022-02-16
32,AA22-040A,https://www.cisa.gov/ncas/alerts/aa22-040a,2021 Trends Show Increased Globalized Threat of Ransomware,2022-02-09
33,AA22-011A,https://www.cisa.gov/ncas/alerts/aa22-011a,Understanding and Mitigating Russian State-Sponsored Cyber Threats to U.S. Critical Infrastructure  ,2022-01-11
34,AA21-356A,https://www.cisa.gov/ncas/alerts/aa21-356a,Mitigating Log4Shell and Other Log4j-Related Vulnerabilities,2021-12-22
35,AA21-336A,https://www.cisa.gov/ncas/alerts/aa21-336a,APT Actors Exploiting CVE-2021-44077 in Zoho ManageEngine ServiceDesk Plus,2021-12-02
36,AA21-321A,https://www.cisa.gov/ncas/alerts/aa21-321a,Iranian Government-Sponsored APT Cyber Actors Exploiting Microsoft Exchange and Fortinet Vulnerabilities in Furtherance of Malicious Activities,2021-11-17
37,AA21-291A,https://www.cisa.gov/ncas/alerts/aa21-291a,BlackMatter Ransomware ,2021-10-18
38,AA21-287A,https://www.cisa.gov/ncas/alerts/aa21-287a,Ongoing Cyber Threats to U.S. Water and Wastewater Systems,2021-10-14
39,AA21-265A,https://www.cisa.gov/ncas/alerts/aa21-265a,Conti Ransomware,2021-09-22
40,AA21-259A,https://www.cisa.gov/ncas/alerts/aa21-259a,APT Actors Exploiting Newly Identified Vulnerability in ManageEngine ADSelfService Plus,2021-09-16
41,AA21-243A,https://www.cisa.gov/ncas/alerts/aa21-243a,Ransomware Awareness for Holidays and Weekends,2021-08-31
42,AA21-229A,https://www.cisa.gov/ncas/alerts/aa21-229a,BadAlloc Vulnerability Affecting BlackBerry QNX RTOS,2021-08-17
43,AA21-209A,https://www.cisa.gov/ncas/alerts/aa21-209a,Top Routinely Exploited Vulnerabilities,2021-07-28
44,AA21-201A,https://www.cisa.gov/ncas/alerts/aa21-201a,"Chinese Gas Pipeline Intrusion Campaign, 2011 to 2013 ",2021-07-20
45,AA21-200B,https://www.cisa.gov/ncas/alerts/aa21-200b,Chinese State-Sponsored Cyber Operations: Observed TTPs,2021-07-19
46,AA21-200A,https://www.cisa.gov/ncas/alerts/aa21-200a,"Tactics, Techniques, and Procedures of Indicted APT40 Actors Associated with China’s MSS Hainan State Security Department",2021-07-19
47,AA21-148A,https://www.cisa.gov/ncas/alerts/aa21-148a,"Sophisticated Spearphishing Campaign Targets Government Organizations, IGOs, and NGOs",2021-05-28
48,AA21-131A,https://www.cisa.gov/ncas/alerts/aa21-131a,DarkSide Ransomware: Best Practices for Preventing Business Disruption from Ransomware Attacks,2021-05-11
49,AA21-116A,https://www.cisa.gov/ncas/alerts/aa21-116a,Russian Foreign Intelligence Service (SVR) Cyber Operations: Trends and Best Practices for Network Defenders,2021-04-26
50,AA21-110A,https://www.cisa.gov/ncas/alerts/aa21-110a,Exploitation of Pulse Connect Secure Vulnerabilities,2021-04-20
51,AA21-077A,https://www.cisa.gov/ncas/alerts/aa21-077a,Detecting Post-Compromise Threat Activity Using the CHIRP IOC Detection Tool,2021-03-18
52,AA21-076A,https://www.cisa.gov/ncas/alerts/aa21-076a,TrickBot Malware,2021-03-17
53,AA21-062A,https://www.cisa.gov/ncas/alerts/aa21-062a,Mitigate Microsoft Exchange Server Vulnerabilities,2021-03-03
54,AA21-055A,https://www.cisa.gov/ncas/alerts/aa21-055a,Exploitation of Accellion File Transfer Appliance,2021-02-24
55,AA21-048A,https://www.cisa.gov/ncas/alerts/aa21-048a,AppleJeus: Analysis of North Korea’s Cryptocurrency Malware ,2021-02-17
56,AA21-042A,https://www.cisa.gov/ncas/alerts/aa21-042a,Compromise of U.S. Water Treatment Facility ,2021-02-11
57,AA21-008A,https://www.cisa.gov/ncas/alerts/aa21-008a,Detecting Post-Compromise Threat Activity in Microsoft Cloud Environments  ,2021-01-08
58,AA20-352A,https://www.cisa.gov/ncas/alerts/aa20-352a,"Advanced Persistent Threat Compromise of Government Agencies, Critical Infrastructure, and Private Sector Organizations",2020-12-17
59,AA20-345A,https://www.cisa.gov/ncas/alerts/aa20-345a,Cyber Actors Target K-12 Distance Learning Education to Cause Disruptions and Steal Data ,2020-12-10
60,AA20-336A,https://www.cisa.gov/ncas/alerts/aa20-336a,Advanced Persistent Threat Actors Targeting U.S. Think Tanks,2020-12-01
61,AA20-304A,https://www.cisa.gov/ncas/alerts/aa20-304a,Iranian Advanced Persistent Threat Actor Identified Obtaining Voter Registration Data,2020-10-30
62,AA20-302A,https://www.cisa.gov/ncas/alerts/aa20-302a,Ransomware Activity Targeting the Healthcare and Public Health Sector,2020-10-28
63,AA20-301A,https://www.cisa.gov/ncas/alerts/aa20-301a,North Korean Advanced Persistent Threat Focus: Kimsuky,2020-10-27
64,AA20-296B,https://www.cisa.gov/ncas/alerts/aa20-296b,Iranian Advanced Persistent Threat Actors Threaten Election-Related Systems,2020-10-22
65,AA20-296A,https://www.cisa.gov/ncas/alerts/aa20-296a,Russian State-Sponsored Advanced Persistent Threat Actor Compromises U.S. Government Targets,2020-10-22
66,AA20-283A,https://www.cisa.gov/ncas/alerts/aa20-283a,"APT Actors Chaining Vulnerabilities Against SLTT, Critical Infrastructure, and Elections Organizations",2020-10-09
67,AA20-280A,https://www.cisa.gov/ncas/alerts/aa20-280a,Emotet Malware,2020-10-06
68,AA20-275A,https://www.cisa.gov/ncas/alerts/aa20-275a,Potential for China Cyber Response to Heightened U.S.–China Tensions,2020-10-01
69,AA20-266A,https://www.cisa.gov/ncas/alerts/aa20-266a,LokiBot Malware ,2020-09-22
70,AA20-259A,https://www.cisa.gov/ncas/alerts/aa20-259a,Iran-Based Threat Actor Exploits VPN Vulnerabilities,2020-09-15
71,AA20-258A,https://www.cisa.gov/ncas/alerts/aa20-258a,Chinese Ministry of State Security-Affiliated Cyber Threat Actor Activity,2020-09-14
72,AA20-245A,https://www.cisa.gov/ncas/alerts/aa20-245a,Technical Approaches to Uncovering and Remediating Malicious Activity,2020-09-01
73,AA20-239A,https://www.cisa.gov/ncas/alerts/aa20-239a,FASTCash 2.0: North Korea's BeagleBoyz Robbing Banks,2020-08-26
74,AA20-227A,https://www.cisa.gov/ncas/alerts/aa20-227a,Phishing Emails Used to Deploy KONNI Malware,2020-08-14
