index,cpe,ner
0,microsoft teams,microsoft
1,python pillow,python
2,github github,github
3,google chrome,chrome
4,nodejs node.js,nodejs
5,telegram telegram,telegram api
6,docker desktop,desktop
7,oracle jdeveloper,oracle
8,oracle documaker,oracle
9,python python,python
10,python python,tritons python
11,python python,python meterpreter
12,git-scm git,git
13,drupal drupal,drupal
14,drupal drupal,drupal core
15,oracle graalvm,oracle
16,oracle mysql,oracle
17,linuxfoundation osquery,osquery
18,apple mac os x,mac os
19,apple mac os x,windows linux mac os x
20,apple mac os x,mac os x
21,apple mac os x,apple mac os x
22,apple mac os x,windows mac os x
23,apple mac os x,apple mac os mac os x
24,apple tvos,apple
25,apple icloud,apple
26,apple itunes,apple
27,apple watchos,apple
28,mikrotik routeros,routeros
29,apache ant,apache
30,openbsd openssh,openssh
31,anchorcms anchor,anchor
32,netapp cloud backup,netapp cloud backup
33,microsoft windows 10,microsoft windows
34,microsoft windows 10,microsoft windows vista
35,microsoft windows 10,microsoft windows xp
36,microsoft windows 10,microsoft windows office
37,python jw.util,python
38,mozilla mozjpeg,mozilla
39,apache skywalking,apache
40,owasp json-sanitizer,owasp
41,citrix xenapp,citrix
42,electronjs electron,electron
43,apache pluto,apache
44,mozilla geckodriver,mozilla
45,facebook hermes,hermes
46,synacor zimbra collaboration suite,zimbra collaboration suite
47,openssl openssl,openssl
48,freebsd freebsd,freebsd
49,apple imessage,apple
50,microsoft chakracore,microsoft
51,linux mac80211,linux
52,microsoft windows server 2008,microsoft windows
53,microsoft windows server 2008,windows server
54,microsoft windows 8.1,microsoft windows
55,microsoft windows 8.1,microsoft windows vista
56,microsoft windows 8.1,microsoft windows xp
57,microsoft windows 8.1,microsoft windows office
58,microsoft windows server 2016,microsoft windows
59,microsoft windows server 2016,windows server
60,microsoft windows 7,microsoft windows
61,microsoft windows 7,microsoft windows vista
62,microsoft windows 7,microsoft windows xp
63,microsoft windows 7,microsoft windows office
64,microsoft windows rt 8.1,microsoft windows
65,microsoft windows server 2012,microsoft windows
66,microsoft windows server 2012,windows server
67,microsoft windows server 2019,microsoft windows
68,microsoft windows server 2019,windows server
69,netapp cloud manager,netapp cloud backup
70,hyper http,http
71,apache iotdb,apache
72,oracle coherence,oracle
73,python urllib3,python
74,apache activemq,apache
75,apache beam,apache
76,apache kafka,apache
77,apache spark,apache
78,apache nifi,apache
79,apache solr,apache
80,apache karaf,apache
81,golang go,go
82,scully scully,scully spider
83,rclone rclone,rclone
84,mobileiron mobile\@work,mobileiron
85,logmein lastpass,logmein
86,clusterlabs hawk,hawk
87,dart http,http
88,oracle autovue,oracle
89,debian apt,apt
90,vmware velero,vmware
91,git git,git
92,apache camel,apache
93,mozilla bleach,mozilla
94,oracle georaster,oracle
95,rapid7 metasploit,metasploit
96,cayintech cms,cms
97,browserless chrome,chrome
98,oracle essbase,oracle
99,solarwinds n-central,solarwinds
100,apple macos,macos
101,apple macos,apple
102,kubernetes java,java
103,adobe magento,adobe
104,telestream sentry,sentry
105,microsoft .net,microsoft
106,microsoft powershell,powershell
107,microsoft powershell,microsoft
108,microsoft powershell,microsoft powershell
109,adobe git-server,adobe
110,apple nioextras,apple
111,apache vcl,apache
112,trustwave modsecurity,modsecurity
113,haxx curl,curl
